ADDRESS,BUSY_STATUS,LATITUDE,LONGITUDE,P_TYPE,PARKING_ID,PARKING_NAME,BERTH,PERCENTAGE,starttime
浦东大道900号,1,31.240728487561,121.53012350030599,1,pd31011500503,东晶商业广场,,,2021-03-29 16:13:00
源深路158号,1,31.238961109681,121.53010456202699,1,pd31011501229,积高停车场,4.0,0.1,2021-03-29 16:13:00
浦东大道850号,1,31.240283330209,121.529175406609,1,pd31011500450,航科大厦停车场,9.0,0.1,2021-03-29 16:13:00
福山路33号,1,31.238846510423002,121.525309709335,1,pd31011500123,建工大厦,25.0,0.63,2021-03-29 16:13:00
浦东大道720号,1,31.239848278123002,121.524788263459,1,pd31011500074,航运大厦,158.0,0.39,2021-03-29 16:13:00
世纪大道1229号、1239号、1249号、福山路288号,1,31.229392454144,121.527899878232,1,pd31011500604,世纪大都会,60.0,0.07,2021-03-29 16:13:00
世纪大道1198号,1,31.227755192644,121.52712370664699,1,pd31011500679,上海世纪汇置业有限公司,903.0,0.69,2021-03-29 16:13:00
浦东新区松林路281-289单号,1,31.227347726781,121.53398415983801,1,pd31011500274,新港大厦,12.0,0.06,2021-03-29 16:13:00
浦东大道599号,1,31.240434431745,121.522341524979,1,pd31011501200,上海万波置业有限公司,38.0,0.76,2021-03-29 16:13:00
潍坊路162号,1,31.225878929299,121.52768207219201,1,pd31011500845,上煤管线二公司停车场,12.0,0.25,2021-03-29 16:13:00
福山 388号,1,31.225110036548,121.53010617528099,1,pd31011500034,越秀大厦,70.0,0.22,2021-03-29 16:13:00
向城路288号、世纪大道1501号,1,31.226339075411,121.533433721663,1,pd31011500883,国华人寿金融大厦,105.0,0.38,2021-03-29 16:13:00
东方路738号,1,31.228696493523998,121.524650469452,1,pd31011500054,裕安大厦,8.0,0.09,2021-03-29 16:13:00
东方路710号,1,31.229222053437,121.524190148304,1,pd31011500447,汤臣金融大厦,17.0,0.94,2021-03-29 16:13:00
浦东大道1525号一1539号,1,31.24380890245,121.53805917390301,1,pd31011500487,中国石化大厦,,,2021-03-29 16:13:00
浦东潍坊路328号,1,31.228402502602002,121.53560582146002,1,pd31011500439,嘉瑞酒店,46.0,0.5,2021-03-29 16:13:00
世纪大道1500号,1,31.224856652824002,121.532630699382,1,pd31011500046,东方大厦,13.0,0.08,2021-03-29 16:13:00
福山路455号,1,31.224476945592,121.53189061058599,1,pd31011500452,全华信息大厦,6.0,0.09,2021-03-29 16:13:00
东方路877号,1,31.224535120438,121.528008988086,1,pd31011500433,嘉兴大厦,,,2021-03-29 16:13:00
